zeri,itatti,score
92472.jpg,1086301,149.0
92472.jpg,1086331,95.0
92472.jpg,1086311,91.0
92472.jpg,1086321,72.0
92472.jpg,1086291,44.0
92475.jpg,1086321,74.0
92475.jpg,1086291,67.0
92475.jpg,1086301,60.0
92475.jpg,1086311,48.0
92475.jpg,1086331,32.0
92476.jpg,1086291,62.0
92476.jpg,1086321,42.0
92476.jpg,1086331,31.0
92476.jpg,1086301,26.0
92477.jpg,1086291,64.0
92477.jpg,1086331,30.0
92504.jpg,1086501,58.0
92504.jpg,1086541,57.0
92504.jpg,1086511,54.0
92508.jpg,1086721,30.0
92526.jpg,1085931,64.0
92527.jpg,1085941,27.0
92528.jpg,1085941,36.0
92529.jpg,1085931,67.0
92546.jpg,1086081,136.0
92546.jpg,1086091,128.0
92547.jpg,1086071,142.0
92569.jpg,1085641,33.0
92614.jpg,1086031,181.0
92634.jpg,1085491,37.0
92635.jpg,1085641,29.0
92650.jpg,1086151,170.0
92650.jpg,1086131,157.0
92650.jpg,1086141,74.0
92650.jpg,1086121,59.0
92650.jpg,1085671,49.0
92650.jpg,1086111,32.0
92651.jpg,1086151,160.0
92651.jpg,1086131,158.0
92651.jpg,1086141,69.0
92651.jpg,1085671,57.0
92651.jpg,1086121,51.0
92651.jpg,1086111,36.0
92652.jpg,1085671,30.0
92653.jpg,1085861,94.0
92653.jpg,1085671,26.0
92654.jpg,1085671,39.0
92655.jpg,1086131,36.0
92655.jpg,1085671,34.0
92655.jpg,1086151,26.0
92662.jpg,1086721,25.0
92683.jpg,1086831,89.0
92683.jpg,1086841,79.0
92692.jpg,1090281,26.0
92692.jpg,1036131,26.0
92697.jpg,1078071,34.0
92700.jpg,1084451,33.0
92706.jpg,1073191,61.0
92706.jpg,1073201,59.0
92706.jpg,1073211,51.0
92706.jpg,1073181,49.0
92706.jpg,1073171,36.0
92708.jpg,1079951,38.0
92709.jpg,1058031,76.0
92718.jpg,1079681,127.0
92718.jpg,1084241,64.0
92723.jpg,1071511,162.0
92725.jpg,1099621,45.0
92732.jpg,1083231,28.0
92736.jpg,1112901,43.0
92743.jpg,1084801,79.0
92743.jpg,1078611,40.0
92757.jpg,1082291,43.0
92760.jpg,1093741,62.0
92761.jpg,1093741,81.0
92762.jpg,1093681,32.0
92766.jpg,1093701,72.0
92781.jpg,1098331,70.0
92787.jpg,1098261,56.0
92795.jpg,1098311,32.0
92795.jpg,1098711,29.0
92801.jpg,1098331,78.0
92816.jpg,1090281,28.0
92819.jpg,1098631,86.0
92824.jpg,1098451,36.0
92835.jpg,1098351,76.0
92836.jpg,1098751,112.0
92848.jpg,1098321,37.0
92849.jpg,1098321,119.0
92850.jpg,1098321,86.0
92861.jpg,1098551,61.0
92861.jpg,1098541,47.0
92861.jpg,1098561,41.0
92862.jpg,1098561,73.0
92862.jpg,1098541,42.0
92862.jpg,1098551,39.0
92863.jpg,1098571,92.0
92863.jpg,1098561,74.0
92863.jpg,1098551,61.0
92863.jpg,1098541,44.0
92864.jpg,1098571,76.0
