zeriArtist,zeriArtwork,viafArtwork,avg,zeriLabel,viafLabel,include
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/313788058,51," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Michelangelo: le tombe Medicee,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/313706635,61," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Lettere di Michelangelo Buonarroti,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/313768551,51," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Drawings of Michelangelo,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/314632976,53," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)","Michelangelo, la Cappella Sistina.",
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/314632976,53," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Michelangelo : la Cappella Sistina,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/310919072,53," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Michelangelo scultore,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/314468217,56," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Michelangelo poeta,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/314289639,52," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Michelangelo : the last judgment,
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,https://w3id.org/zericatalog/artwork/16598,http://viaf.org/viaf/183476601,51," ""Buonarroti Michelangelo , Azor con la madre, Zadok"" , (elemento d'insieme)",Carteggio di michelangelo,
https://w3id.org/zericatalog/person/4573/barocci-federico,https://w3id.org/zericatalog/artwork/32340,http://viaf.org/viaf/259170233,59,"Titolo tradizionale ""Madonna delle Nuvole""",Madonna della neve,
