search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg,
"Berti, Luciano","Berti, Luciano, 1922-....",http://viaf.org/viaf/46757359,http://id.loc.gov/authorities/names/n79059373,http://isni.org/isni/0000000108571578,72,100,84,100,89,
"Bertini Calosso, Achille","Bertini Calosso, Achille.",http://viaf.org/viaf/23170497,http://id.loc.gov/authorities/names/n84030674,http://isni.org/isni/0000000018476550,98,100,100,100,"99,5",
"Bertram, Johann B.","Bertram, Johann B.",http://viaf.org/viaf/32890043,,,,,,,,
"Beruete y Moret, A., de","Beruete y Moret, Aureliano &#x98;de&#x9C; 1876-1922",http://viaf.org/viaf/69977015,http://id.loc.gov/authorities/names/n83139130,http://isni.org/isni/0000000109132059,57,83,61,95,74,
"Beutler, Christian","Beutler, Christian",http://viaf.org/viaf/263638098,,,,,,,,
"Bezold, Gustav von","Bezold, Gustav von",http://viaf.org/viaf/64801138,,,,,,,,
"Bianchi Bandinelli, Ranuccio","Bianchi-Bandinelli, Ranuccio (1900-1975)",http://viaf.org/viaf/63999949,http://id.loc.gov/authorities/names/n79059557,http://isni.org/isni/0000000109084560,79,96,84,100,"89,75",
"Bianchini, Francesco","Bianchini, Francesco, 1662-1729",http://viaf.org/viaf/46856107,http://id.loc.gov/authorities/names/n88673242,http://isni.org/isni/0000000116346071,78,100,79,100,"89,25",
"Bianconi, Giovanni Lodovico","Bianconi, Giovanni Ludovico, 1717-1781",http://viaf.org/viaf/245923,http://id.loc.gov/authorities/names/n85800492,http://isni.org/isni/0000000121174972,82,93,81,81,"84,25",
"Białostocki, Jan","Bia&#x142;ostocki, Jan, 1921-1988",http://viaf.org/viaf/109154335,http://id.loc.gov/authorities/names/n50011156,http://isni.org/isni/0000000081742823,61,75,49,62,"61,75",
"Bie, Cornelis de","Bie, Cornelis de",http://viaf.org/viaf/52632309,,,0,0,0,0,0,
"Bieber, Margarete","Bieber, Margarete, 1879-1978",http://viaf.org/viaf/100201624,http://id.loc.gov/authorities/names/n87813429,http://isni.org/isni/0000000117771758,78,94,76,100,87,
"Bielefeld, Erwin","Bielefeld, Erwin.",http://viaf.org/viaf/93477448,http://id.loc.gov/authorities/names/no2010035112,http://isni.org/isni/0000000109258604,97,100,100,100,"99,25",
"Bier, Justus","Bier, Justus, 1899-1990",http://viaf.org/viaf/111436918,http://id.loc.gov/authorities/names/n81139059,http://isni.org/isni/0000000121478773,69,100,69,100,"84,5",
"Bierens de Haan, Johan Catharinus Justus","Bierens de Haan, J.C.J. (Johan Catharinus Justus), 1867-1951",http://viaf.org/viaf/19569498,http://id.loc.gov/authorities/names/nr95021557,http://isni.org/isni/000000011022054X,80,80,83,100,"85,75",
"Bille, Clara","Bille, Clara",http://viaf.org/viaf/72701499,,,0,0,0,0,0,
"Billi, Antonio","Billi, Antonio, 1480?-1550",http://viaf.org/viaf/91584285,http://id.loc.gov/authorities/names/n91098678,http://isni.org/isni/0000000084000112,70,100,72,100,"85,5",
"Bing, Gertrud","Bing, Gertrud",http://viaf.org/viaf/3215209,,,,,,,,
"Binyon, Laurence","Binyon, Laurence, 1869-1943.",http://viaf.org/viaf/64101933,http://id.loc.gov/authorities/names/n50009381,http://isni.org/isni/0000000110282759,73,100,75,100,87,
"Biono, Michelangelo",,,,,0,0,0,0,0,
Birchler Linus,"Birchler, Linus, 1893-1967",http://viaf.org/viaf/64185292,http://id.loc.gov/authorities/names/nr95005039,http://isni.org/isni/0000000061254507,70,93,74,100,"84,25",
