name,label,viaf,lc,isni,bnf,dnb,wd,wikipedia
E. Clerici Sella,E. Clerici Sella,,,,,,,
E. Fahy,"Fahy, Everett",http://viaf.org/viaf/59101125,http://id.loc.gov/authorities/names/n82070119,http://isni.org/isni/0000000023421802,http://catalogue.bnf.fr/ark:/12148/cb120420551,http://d-nb.info/gnd/1117245020,http://www.wikidata.org/entity/Q19997512,https://en.wikipedia.org/wiki/Everett_Fahy
E. Larsen,E. Larsen,,,,,,,
E. Lavagnino,"Lavagnino, Emilio",http://viaf.org/viaf/92144048,http://id.loc.gov/authorities/names/nr89005797,http://isni.org/isni/0000000114952705,http://catalogue.bnf.fr/ark:/12148/cb11116939n,http://d-nb.info/gnd/143556649,http://www.wikidata.org/entity/Q3724437,https://it.wikipedia.org/wiki/Emilio_Lavagnino
E. Malagutti,E. Malagutti,,,,,,,
E. Mauceri,"Mauceri, Enrico, 1869-1966",http://viaf.org/viaf/15652521,http://id.loc.gov/authorities/names/n85109945,http://isni.org/isni/000000008076457X,http://catalogue.bnf.fr/ark:/12148/cb12769134n,http://d-nb.info/gnd/122438272,http://www.wikidata.org/entity/Q3725904,https://it.wikipedia.org/wiki/Enrico_Mauceri
E. Negro,"Negro, Emilio",http://viaf.org/viaf/14818003,http://id.loc.gov/authorities/names/n90642816,http://isni.org/isni/0000000061228632,http://catalogue.bnf.fr/ark:/12148/cb12201054z,http://d-nb.info/gnd/133540359,,
E. Ragazzi,E. Ragazzi,,,,,,,
E. Safarik,"Šafařík, Eduard Alexandr",http://viaf.org/viaf/34605087,http://id.loc.gov/authorities/names/n81131815,http://isni.org/isni/0000000108869569,http://catalogue.bnf.fr/ark:/12148/cb13337019t,http://d-nb.info/gnd/129175404,http://www.wikidata.org/entity/Q22959049,https://en.wikipedia.org/wiki/Eduard_A._Safarik
E. Sandberg Vavalà,"Sandberg-Vavalà, Evelyn",http://viaf.org/viaf/33498031,http://id.loc.gov/authorities/names/n86847940,http://isni.org/isni/0000000116172534,,,http://www.wikidata.org/entity/Q19997511,
E. Sandberg-Vavalà,"Sandberg-Vavalà, Evelyn",http://viaf.org/viaf/33498031,http://id.loc.gov/authorities/names/n86847940,http://isni.org/isni/0000000116172534,,,http://www.wikidata.org/entity/Q19997511,
E. Schaeffer,"Schaeffer, Emil",http://viaf.org/viaf/85439656,http://id.loc.gov/authorities/names/n80115926,http://isni.org/isni/0000000110304209,,http://d-nb.info/gnd/117099589,,
E.E. Gardner,"Gardner, Erle Stanley, 1889-1970.",http://viaf.org/viaf/97201005,http://id.loc.gov/authorities/names/n79071101,http://isni.org/isni/0000000120312800,http://catalogue.bnf.fr/ark:/12148/cb11904131c,http://d-nb.info/gnd/118716360,http://www.wikidata.org/entity/Q357065,https://ast.wikipedia.org/wiki/Erle_Stanley_Gardner
E.P. Pillsbury,"Pillsbury, Edmund P.",http://viaf.org/viaf/66595763,http://id.loc.gov/authorities/names/nr00033698,http://isni.org/isni/000000011662166X,http://catalogue.bnf.fr/ark:/12148/cb12898904g,http://d-nb.info/gnd/1118513576,,
F. Antal,"Antal, Frederick",http://viaf.org/viaf/3340011,http://id.loc.gov/authorities/names/n80050720,http://isni.org/isni/0000000117378892,,http://d-nb.info/gnd/12190637X,http://www.wikidata.org/entity/Q215037,https://de.wikipedia.org/wiki/Frederick_Antal
F. Arcangeli,"Arcangeli, Francesco, 1915-1974",http://viaf.org/viaf/4977457,http://id.loc.gov/authorities/names/n82230824,http://isni.org/isni/0000000121186308,http://catalogue.bnf.fr/ark:/12148/cb12197356m,http://d-nb.info/gnd/120908794,http://www.wikidata.org/entity/Q1121086,https://fr.wikipedia.org/wiki/Francesco_Arcangeli_(1915)
F. Bartoli,"Bartoli, Francesco, 1933-1997",http://viaf.org/viaf/61595294,http://id.loc.gov/authorities/names/n78032569,http://isni.org/isni/000000007976381X,http://catalogue.bnf.fr/ark:/12148/cb12212554s,,http://www.wikidata.org/entity/Q3749603,https://it.wikipedia.org/wiki/Francesco_Bartoli
F. Bernardini,Bernardini F.,,,,,,,
F. Bologna,"Bologna, Ferdinando",http://viaf.org/viaf/279141483,http://id.loc.gov/authorities/names/n79042232,http://isni.org/isni/0000000384992563,http://catalogue.bnf.fr/ark:/12148/cb12674230c,http://d-nb.info/gnd/119460076,http://www.wikidata.org/entity/Q3742558,https://it.wikipedia.org/wiki/Ferdinando_Bologna
F. Fantozzi,"Fantozzi, Federigo",http://viaf.org/viaf/300581390,http://id.loc.gov/authorities/names/n2017040028,http://isni.org/isni/0000000408165029,,,,
F. Filippini,"Filippini, Francesco",http://viaf.org/viaf/64374922,http://id.loc.gov/authorities/names/n85224805,http://isni.org/isni/0000000115569935,,,,
F. Gibbons,"Gibbons, Felton",http://viaf.org/viaf/113148360,http://id.loc.gov/authorities/names/n88033920,http://isni.org/isni/0000000109369988,,,,
F. Hartt,"Hartt, Frederick",http://viaf.org/viaf/72146947,http://id.loc.gov/authorities/names/n80023587,http://isni.org/isni/0000000120283421,http://catalogue.bnf.fr/ark:/12148/cb12067418j,http://d-nb.info/gnd/11650269X,http://www.wikidata.org/entity/Q5497974,https://en.wikipedia.org/wiki/Frederick_Hartt
F. Heinemann,"Heinemann, Fritz",http://viaf.org/viaf/46325243,http://id.loc.gov/authorities/names/no91026271,http://isni.org/isni/0000000453022668,,http://d-nb.info/gnd/1131904923,,
F. Hermanin,"Hermanin, Federico",http://viaf.org/viaf/77242687,http://id.loc.gov/authorities/names/nr97032731,http://isni.org/isni/0000000109182152,http://catalogue.bnf.fr/ark:/12148/cb11149191w,http://d-nb.info/gnd/124231330,http://www.wikidata.org/entity/Q26222255,https://it.wikipedia.org/wiki/Federico_Hermanin
F. Knapp,"Knapp, Fritz",http://viaf.org/viaf/47508882,http://id.loc.gov/authorities/names/n87912238,http://isni.org/isni/0000000108969703,,http://d-nb.info/gnd/11624397X,http://www.wikidata.org/entity/Q12362801,https://et.wikipedia.org/wiki/Fritz_Knapp
F. Moro,"Moro, Franco",http://viaf.org/viaf/51815845,http://id.loc.gov/authorities/names/nr90017148,http://isni.org/isni/0000000055125485,http://catalogue.bnf.fr/ark:/12148/cb127431772,http://d-nb.info/gnd/137153228,,
F. Rodriquez,"Rodriguez, Ferdinando",http://viaf.org/viaf/306110469,http://id.loc.gov/authorities/names/no97047156,,,,,
F. Rossi,"Rossi, Francesco",http://viaf.org/viaf/89457887,http://id.loc.gov/authorities/names/n2011186964,http://isni.org/isni/0000000110759289,http://catalogue.bnf.fr/ark:/12148/cb14491592c,,,
